Call ID,Agent,Date,Time,Topic,Answered (Y/N),Resolved (Y/N),Speed of answer,Talk duration,Satisfaction rating
1,Agent 1,2025-04-19,09:00:35.854243,IT issue,Y,N,106,8.43,2
2,Agent 2,2025-04-19,09:04:21.340748,IT issue,Y,Y,8,2.64,10
3,Agent 3,2025-04-19,09:04:59.905884,IT issue,Y,N,22,0.38,1
4,Agent 3,2025-04-19,09:06:12.614602,Management,Y,Y,49,10.97,6
5,Agent 1,2025-04-19,09:10:24.060129,Management,Y,Y,77,6.68,5
6,Agent 2,2025-04-19,09:16:20.395522,Management,Y,N,6,1.17,2
7,Agent 1,2025-04-19,09:25:46.270813,IT issue,Y,N,44,4.89,3
8,Agent 1,2025-04-19,09:36:09.115097,Management,Y,Y,6,1.71,10
9,Agent 1,2025-04-19,09:39:01.553473,Management,Y,N,87,2.13,3
10,Agent 2,2025-04-19,09:39:33.192978,Management,Y,Y,108,4.69,6
11,Agent 1,2025-04-19,09:41:57.561998,Management,Y,Y,52,0.71,9
12,Agent 1,2025-04-19,09:56:15.867101,IT issue,Y,N,117,10.59,2
13,Agent 2,2025-04-19,10:00:24.746369,IT issue,Y,N,85,1.39,1
14,Agent 1,2025-04-19,10:12:41.192383,IT issue,Y,Y,55,3.06,9
15,Agent 1,2025-04-19,10:21:10.630123,Management,Y,Y,108,7.38,5
16,Agent 2,2025-04-19,10:22:35.808361,IT issue,Y,Y,35,1.6,8
17,Agent 1,2025-04-19,10:31:04.957230,IT issue,Y,Y,21,3.26,10
18,Agent 1,2025-04-19,10:43:13.018583,Management,Y,Y,5,2.47,10
19,Agent 1,2025-04-19,10:53:12.595675,Management,Y,Y,110,6.3,5
20,Agent 2,2025-04-19,10:53:59.740609,IT issue,Y,Y,118,11.47,5
21,Agent 3,2025-04-19,10:57:13.449034,Management,Y,Y,73,14.95,5
22,,2025-04-19,10:59:05.328436,Management,N,,,,
23,Agent 1,2025-04-19,11:11:19.219926,IT issue,Y,N,52,2.32,1
24,Agent 1,2025-04-19,11:19:45.995505,IT issue,Y,Y,69,1.25,5
25,Agent 1,2025-04-19,11:23:20.050239,Management,Y,Y,59,7.15,6
26,Agent 1,2025-04-19,11:34:24.520755,Management,Y,Y,13,7.38,4
27,Agent 1,2025-04-19,11:49:02.939171,IT issue,Y,Y,89,0.33,5
28,Agent 1,2025-04-19,12:00:44.615673,Management,Y,Y,24,2.6,7
29,Agent 1,2025-04-19,12:11:44.762212,IT issue,Y,Y,60,1.48,4
30,Agent 1,2025-04-19,12:16:50.718433,Management,Y,Y,73,16.84,6
31,Agent 2,2025-04-19,12:32:45.134143,IT issue,Y,Y,28,3.1,9
32,Agent 1,2025-04-19,12:46:35.324590,Management,Y,Y,105,0.55,4
33,Agent 1,2025-04-19,12:54:32.990576,Management,Y,Y,113,4.97,4
34,Agent 1,2025-04-19,13:08:02.722705,Management,Y,Y,29,6.86,5
35,Agent 1,2025-04-19,13:15:00.386713,IT issue,Y,N,65,7.06,2
36,Agent 2,2025-04-19,13:17:29.617491,Management,Y,N,46,0.26,2
37,Agent 2,2025-04-19,13:19:04.784509,Management,Y,Y,47,11.01,4
38,Agent 3,2025-04-19,13:19:44.774274,Management,Y,N,31,0.56,2
39,Agent 1,2025-04-19,13:29:36.913415,IT issue,Y,N,48,8.76,3
40,Agent 2,2025-04-19,13:36:13.499492,Management,Y,Y,19,1.86,9
41,Agent 1,2025-04-19,13:42:41.969096,Management,Y,Y,48,18.75,4
42,Agent 2,2025-04-19,13:46:58.098995,IT issue,Y,N,40,3.97,2
43,Agent 2,2025-04-19,13:54:10.132832,Management,Y,N,80,1.66,2
44,Agent 1,2025-04-19,14:08:48.940642,IT issue,Y,N,112,0.15,2
45,Agent 1,2025-04-19,14:17:12.729016,Management,Y,Y,120,11.39,2
46,Agent 2,2025-04-19,14:22:29.691993,IT issue,Y,Y,118,0.46,6
47,Agent 2,2025-04-19,14:27:23.970372,Management,Y,Y,115,0.77,5
48,Agent 3,2025-04-19,14:27:40.913939,Management,Y,Y,36,2.66,7
49,Agent 1,2025-04-19,14:29:23.181205,Management,Y,Y,84,6.91,5
50,Agent 2,2025-04-19,14:35:20.579750,IT issue,Y,Y,29,6.97,4
51,Agent 1,2025-04-19,14:51:09.938714,Management,Y,Y,50,1.12,9
52,Agent 1,2025-04-19,14:53:19.991006,IT issue,Y,Y,40,0.76,8
53,Agent 1,2025-04-19,14:54:42.702010,Management,Y,Y,5,3.05,8
54,Agent 1,2025-04-19,15:20:43.874703,Management,Y,N,23,13.48,3
55,Agent 2,2025-04-19,15:20:59.129666,Management,Y,Y,54,5.65,7
56,Agent 3,2025-04-19,15:21:29.125126,Management,Y,Y,89,2.02,4
57,Agent 3,2025-04-19,15:25:52.175884,IT issue,Y,Y,56,1.22,10
58,,2025-04-19,15:26:29.415393,IT issue,N,,,,
59,Agent 2,2025-04-19,15:31:58.920371,IT issue,Y,Y,71,0.22,6
60,Agent 1,2025-04-19,15:34:26.031519,Management,Y,Y,34,3.27,7
61,Agent 1,2025-04-19,15:42:48.486564,Management,Y,Y,109,0.11,6
62,Agent 1,2025-04-19,15:43:41.826985,Management,Y,Y,65,14.44,4
63,Agent 2,2025-04-19,15:46:47.922954,IT issue,Y,Y,120,7.91,3
64,Agent 3,2025-04-19,15:49:17.475503,Management,Y,Y,44,6.73,4
65,,2025-04-19,15:50:54.969758,Management,N,,,,
66,Agent 2,2025-04-19,15:55:46.759630,Management,Y,Y,98,2.54,5
67,Agent 3,2025-04-19,15:56:45.889756,Management,Y,Y,18,3.51,7
68,Agent 1,2025-04-19,15:59:17.054840,IT issue,Y,N,72,11.76,3
69,Agent 1,2025-04-19,16:11:52.387113,Management,Y,Y,30,0.5,10
70,Agent 1,2025-04-19,16:13:57.612445,IT issue,Y,N,41,1.17,1
71,Agent 1,2025-04-19,16:28:24.721394,IT issue,Y,Y,16,13.57,4
72,Agent 2,2025-04-19,16:29:50.000673,IT issue,Y,Y,90,3.22,4
73,Agent 2,2025-04-19,16:33:25.114684,IT issue,Y,Y,48,1.78,7
74,Agent 2,2025-04-19,16:39:34.758832,Management,Y,N,75,0.11,2
75,Agent 2,2025-04-19,16:39:42.058976,Management,Y,N,5,5.86,1
76,Agent 1,2025-04-19,16:45:16.380020,Management,Y,Y,22,2.84,7
77,Agent 1,2025-04-19,16:48:33.344454,IT issue,Y,Y,66,0.73,5
78,Agent 1,2025-04-19,16:52:41.930394,Management,Y,Y,22,0.9,9
79,Agent 1,2025-04-19,17:06:13.457326,IT issue,Y,N,92,11.44,2
80,Agent 2,2025-04-19,17:16:28.937012,Management,Y,Y,32,0.41,8
81,Agent 3,2025-04-19,17:16:46.034457,IT issue,Y,Y,41,13.37,4
82,Agent 1,2025-04-19,17:21:00.130427,Management,Y,Y,7,13.33,4
83,Agent 2,2025-04-19,17:27:32.672078,IT issue,Y,Y,48,0.99,10
84,,2025-04-19,17:27:59.191686,IT issue,N,,,,
85,Agent 2,2025-04-19,17:31:12.278020,Management,Y,N,118,5.14,2
86,Agent 3,2025-04-19,17:31:13.540616,Management,Y,Y,63,0.89,4
87,Agent 3,2025-04-19,17:32:14.313111,IT issue,Y,Y,43,2.56,7
88,Agent 1,2025-04-19,17:34:23.261026,IT issue,Y,Y,35,1.87,7
89,Agent 3,2025-04-19,17:34:51.858746,Management,Y,N,88,2.96,1
90,,2025-04-19,17:35:54.866112,Management,N,,,,
91,Agent 1,2025-04-19,17:37:51.553118,IT issue,Y,N,23,0.7,1
92,Agent 1,2025-04-19,17:42:05.173359,IT issue,Y,Y,116,2.94,5
93,Agent 1,2025-04-19,17:50:44.335680,IT issue,Y,N,103,1.69,2
94,Agent 2,2025-04-19,17:52:02.156535,IT issue,Y,Y,29,1.93,8
95,Agent 1,2025-04-19,17:53:56.946654,Management,Y,Y,58,11.82,5
96,Agent 2,2025-04-19,17:54:21.810825,Management,Y,Y,71,0.87,6
97,Agent 2,2025-04-19,18:03:31.654617,IT issue,Y,Y,104,0.3,4
98,Agent 2,2025-04-19,18:04:30.290531,Management,Y,N,13,5.69,1
