Call ID,Agent,Date,Time,Topic,Answered (Y/N),Resolved (Y/N),Speed of answer,Talk duration,Satisfaction rating
1,Agent 1,2025-04-19,09:05:05.915709,Management,Y,Y,118,0.27,6
2,Agent 1,2025-04-19,09:09:18.282771,IT issue,Y,N,94,10.8,2
3,Agent 2,2025-04-19,09:17:08.440662,IT issue,Y,Y,106,3.45,6
4,Agent 3,2025-04-19,09:18:24.985603,IT issue,Y,Y,96,6.06,4
5,,2025-04-19,09:19:40.200807,Management,N,,,,
6,,2025-04-19,09:19:58.907998,IT issue,N,,,,
7,Agent 1,2025-04-19,09:22:42.745938,IT issue,Y,Y,102,2.9,5
8,Agent 2,2025-04-19,09:24:24.597531,Management,Y,Y,80,0.08,4
9,Agent 1,2025-04-19,09:27:07.749920,IT issue,Y,N,32,4.79,3
10,Agent 1,2025-04-19,09:34:54.368266,Management,Y,Y,25,0.62,10
11,Agent 1,2025-04-19,09:39:44.569235,Management,Y,Y,89,9.74,6
12,Agent 2,2025-04-19,09:42:46.790287,IT issue,Y,Y,84,1.76,5
13,Agent 3,2025-04-19,09:43:48.339163,IT issue,Y,N,19,6.04,2
14,,2025-04-19,09:44:23.478642,Management,N,,,,
15,Agent 1,2025-04-19,09:56:35.240078,Management,Y,N,116,1.27,2
16,Agent 1,2025-04-19,10:18:21.233765,Management,Y,Y,82,18.24,5
17,Agent 2,2025-04-19,10:22:30.964519,IT issue,Y,Y,33,3.32,9
18,Agent 3,2025-04-19,10:24:18.842888,Management,Y,Y,53,0.48,8
19,Agent 2,2025-04-19,10:35:15.812597,IT issue,Y,Y,57,2.1,8
20,Agent 1,2025-04-19,10:39:38.867338,Management,Y,Y,60,3.6,4
21,Agent 1,2025-04-19,10:47:58.729736,Management,Y,Y,50,0.16,7
22,Agent 1,2025-04-19,10:56:42.553246,Management,Y,Y,100,1.3,5
23,Agent 1,2025-04-19,10:59:49.692781,Management,Y,Y,30,1.34,10
24,Agent 1,2025-04-19,11:07:36.579632,IT issue,Y,N,10,3.04,2
25,Agent 2,2025-04-19,11:08:31.610001,Management,Y,Y,110,8.66,5
26,Agent 1,2025-04-19,11:16:08.658555,Management,Y,Y,44,0.27,7
27,Agent 1,2025-04-19,11:20:06.839884,Management,Y,Y,21,0.36,9
28,Agent 1,2025-04-19,11:31:02.506969,IT issue,Y,N,25,2.94,1
29,Agent 2,2025-04-19,11:33:10.225586,Management,Y,Y,27,1.26,10
30,Agent 1,2025-04-19,11:34:37.556343,Management,Y,Y,57,7.51,4
31,Agent 2,2025-04-19,11:34:42.090906,Management,Y,Y,24,4.88,7
32,Agent 2,2025-04-19,11:40:15.890990,IT issue,Y,Y,85,1.32,4
33,Agent 3,2025-04-19,11:40:32.565988,IT issue,Y,Y,76,11.05,5
34,Agent 1,2025-04-19,11:44:01.455206,IT issue,Y,Y,59,6.15,4
35,Agent 2,2025-04-19,11:48:08.795706,Management,Y,Y,29,0.05,8
36,Agent 1,2025-04-19,11:57:44.037134,IT issue,Y,N,63,2.02,1
37,Agent 1,2025-04-19,12:08:38.177860,Management,Y,N,16,10.1,1
38,Agent 2,2025-04-19,12:12:13.938389,IT issue,Y,Y,97,0.7,6
39,Agent 2,2025-04-19,12:17:09.212333,Management,Y,N,46,1.11,3
40,Agent 1,2025-04-19,12:23:44.666628,IT issue,Y,Y,33,6.47,6
41,Agent 1,2025-04-19,12:32:02.323586,IT issue,Y,Y,119,11.51,4
42,Agent 2,2025-04-19,12:37:30.577276,Management,Y,N,78,0.6,1
43,Agent 1,2025-04-19,12:48:07.988126,Management,Y,Y,117,0.59,4
44,Agent 1,2025-04-19,12:52:57.123214,IT issue,Y,N,15,3.38,3
45,Agent 1,2025-04-19,13:03:10.074684,Management,Y,N,45,2.71,1
46,Agent 2,2025-04-19,13:03:26.358925,Management,Y,Y,51,3.97,10
47,Agent 3,2025-04-19,13:03:34.636122,Management,Y,Y,64,6.76,5
48,Agent 1,2025-04-19,13:10:34.109925,Management,Y,Y,78,3.84,4
49,Agent 2,2025-04-19,13:12:13.438486,Management,Y,Y,52,2.77,10
50,Agent 3,2025-04-19,13:14:13.389099,IT issue,Y,Y,95,1.07,5
51,Agent 1,2025-04-19,13:15:34.764941,IT issue,Y,Y,38,0.45,9
52,Agent 1,2025-04-19,13:30:24.603945,IT issue,Y,Y,104,1.87,6
53,Agent 1,2025-04-19,13:33:10.568995,IT issue,Y,Y,81,6.19,6
54,Agent 2,2025-04-19,13:33:13.850848,Management,Y,Y,87,1.26,5
55,Agent 3,2025-04-19,13:33:40.536672,Management,Y,Y,73,0.69,4
56,Agent 2,2025-04-19,13:37:35.685049,IT issue,Y,Y,88,8.12,5
57,Agent 3,2025-04-19,13:37:45.576165,Management,Y,Y,22,3.93,7
58,,2025-04-19,13:38:28.582899,IT issue,N,,,,
59,Agent 1,2025-04-19,13:40:07.090342,IT issue,Y,N,61,0.13,3
60,Agent 1,2025-04-19,13:40:47.252118,IT issue,Y,Y,55,5.9,10
61,Agent 3,2025-04-19,13:41:45.671797,IT issue,Y,Y,66,6.01,4
62,,2025-04-19,13:42:19.839475,Management,N,,,,
63,,2025-04-19,13:43:33.765256,Management,N,,,,
64,Agent 2,2025-04-19,13:46:18.153599,Management,Y,N,88,0.31,1
65,,2025-04-19,13:46:19.747882,Management,N,,,,
66,Agent 1,2025-04-19,13:50:58.123521,IT issue,Y,N,78,7.39,3
67,Agent 2,2025-04-19,13:56:03.255834,Management,Y,N,57,8.72,3
68,Agent 1,2025-04-19,14:02:08.529790,Management,Y,Y,11,1.82,7
69,Agent 3,2025-04-19,14:03:56.052985,Management,Y,N,118,0.71,1
70,Agent 1,2025-04-19,14:17:46.798678,IT issue,Y,N,114,0.61,3
71,Agent 1,2025-04-19,14:21:06.257139,Management,Y,Y,79,10.91,6
72,Agent 2,2025-04-19,14:27:33.096305,Management,Y,Y,82,1.53,5
73,Agent 2,2025-04-19,14:31:11.900423,IT issue,Y,Y,29,4.86,7
74,Agent 1,2025-04-19,14:34:21.026156,Management,Y,Y,29,3.73,9
75,Agent 1,2025-04-19,14:44:12.129112,IT issue,Y,N,62,5.05,2
76,Agent 1,2025-04-19,14:52:11.029107,IT issue,Y,Y,111,0.59,5
77,Agent 1,2025-04-19,14:59:18.666215,Management,Y,Y,78,0.33,4
78,Agent 1,2025-04-19,15:00:47.331128,Management,Y,Y,17,2.37,10
79,Agent 1,2025-04-19,15:07:36.700043,IT issue,Y,N,77,0.84,3
80,Agent 2,2025-04-19,15:08:21.884752,IT issue,Y,Y,102,4.44,6
81,Agent 1,2025-04-19,15:12:37.506507,IT issue,Y,Y,104,5.07,4
82,Agent 3,2025-04-19,15:12:39.566375,IT issue,Y,Y,115,0.03,4
83,Agent 2,2025-04-19,15:17:35.594810,Management,Y,Y,63,1.46,6
84,Agent 1,2025-04-19,15:18:57.386281,Management,Y,Y,102,4.07,5
85,Agent 1,2025-04-19,15:26:20.570458,IT issue,Y,N,44,1.36,2
86,Agent 1,2025-04-19,15:30:51.340078,IT issue,Y,Y,52,3.68,7
87,Agent 1,2025-04-19,15:36:11.954301,IT issue,Y,Y,35,2.46,7
88,Agent 1,2025-04-19,15:40:11.683383,IT issue,Y,Y,102,1.41,6
89,Agent 1,2025-04-19,15:49:03.252784,IT issue,Y,Y,52,2.35,7
90,Agent 2,2025-04-19,15:49:54.346424,IT issue,Y,N,6,4.6,2
91,Agent 1,2025-04-19,15:51:59.465048,IT issue,Y,N,118,0.29,1
92,Agent 1,2025-04-19,15:58:45.205233,IT issue,Y,N,43,0.28,1
93,Agent 1,2025-04-19,16:02:58.852209,IT issue,Y,Y,120,1.63,1
94,Agent 1,2025-04-19,16:12:20.938908,IT issue,Y,N,103,5.84,1
95,Agent 2,2025-04-19,16:14:27.052448,IT issue,Y,Y,92,2.4,6
96,Agent 3,2025-04-19,16:14:30.310367,IT issue,Y,N,29,1.17,2
97,Agent 3,2025-04-19,16:16:15.811555,IT issue,Y,Y,62,1.89,5
98,Agent 1,2025-04-19,16:20:12.113383,Management,Y,Y,76,0.74,5
99,Agent 2,2025-04-19,16:20:37.796618,IT issue,Y,Y,26,0.52,10
100,Agent 1,2025-04-19,16:26:55.244829,Management,Y,Y,73,4.26,4
101,Agent 1,2025-04-19,16:34:17.554810,Management,Y,Y,106,3.76,6
102,Agent 2,2025-04-19,16:35:47.340942,IT issue,Y,Y,77,1.52,5
103,Agent 1,2025-04-19,16:38:33.888219,IT issue,Y,Y,63,0.43,5
104,Agent 2,2025-04-19,16:38:35.953798,Management,Y,Y,74,0.88,6
105,Agent 1,2025-04-19,17:05:14.722818,IT issue,Y,Y,50,4.41,9
106,Agent 2,2025-04-19,17:06:23.621445,Management,Y,N,60,0.39,1
107,Agent 2,2025-04-19,17:09:14.805605,IT issue,Y,Y,87,7.93,4
108,Agent 1,2025-04-19,17:12:56.573298,Management,Y,Y,9,2.61,9
109,Agent 1,2025-04-19,17:24:28.435379,IT issue,Y,N,23,1.98,3
110,Agent 1,2025-04-19,17:29:17.207596,IT issue,Y,Y,89,1.27,4
111,Agent 1,2025-04-19,17:33:43.590951,IT issue,Y,N,47,5.45,3
112,Agent 2,2025-04-19,17:35:14.632926,Management,Y,N,19,0.52,2
113,Agent 1,2025-04-19,17:47:34.371934,Management,Y,Y,87,0.39,4
114,Agent 1,2025-04-19,17:50:18.295034,IT issue,Y,Y,40,0.54,10
115,Agent 1,2025-04-19,17:52:50.353877,IT issue,Y,N,48,1.77,2
116,Agent 1,2025-04-19,18:00:39.294649,IT issue,Y,Y,65,1.22,5
117,Agent 1,2025-04-19,18:06:10.950784,IT issue,Y,N,114,11.41,3
118,Agent 2,2025-04-19,18:10:21.954888,IT issue,Y,Y,92,2.01,6
119,Agent 3,2025-04-19,18:10:54.580482,IT issue,Y,Y,41,15.25,6
120,,2025-04-19,18:11:06.160580,Management,N,,,,
121,Agent 1,2025-04-19,18:29:20.684480,Management,Y,Y,108,0.81,4
122,Agent 1,2025-04-19,18:39:30.059116,IT issue,Y,Y,63,1.01,6
